CAT,Day_of_month,Month_of_year,Day_Segment,Longitude,Latitude,Year,Count
IMPAIRED,4,2,2,-122.446,37.782,2,2
IMPAIRED,4,2,2,-122.43,37.744,1,1
IMPAIRED,4,2,2,-122.416,37.784,1,1
IMPAIRED,4,2,2,-122.414,37.749,1,1
IMPAIRED,4,3,0,-122.467,37.711,1,1
IMPAIRED,4,3,0,-122.427,37.769,1,1
IMPAIRED,4,3,0,-122.421,37.768,2,2
IMPAIRED,4,3,0,-122.417,37.777,1,1
IMPAIRED,4,3,0,-122.416,37.768,1,1
IMPAIRED,4,3,0,-122.416,37.783,3,3
IMPAIRED,4,3,1,-122.42,37.752,1,1
IMPAIRED,4,3,1,-122.419,37.765,1,1
IMPAIRED,4,3,1,-122.416,37.782,3,3
IMPAIRED,4,3,2,-122.462,37.783,1,1
IMPAIRED,4,3,2,-122.419,37.761,2,2
IMPAIRED,4,3,2,-122.407,37.761,1,1
IMPAIRED,4,3,2,-122.403,37.794,1,1
IMPAIRED,4,4,0,-122.442,37.723,1,1
IMPAIRED,4,4,0,-122.417,37.786,1,1
IMPAIRED,4,4,0,-122.416,37.782,1,1
IMPAIRED,4,4,0,-122.41,37.783,1,1
IMPAIRED,4,4,1,-122.448,37.77,2,2
IMPAIRED,4,4,1,-122.415,37.779,3,3
IMPAIRED,4,4,1,-122.414,37.774,1,1
IMPAIRED,4,4,1,-122.407,37.756,1,1
IMPAIRED,4,4,1,-122.399,37.766,1,1
IMPAIRED,4,4,2,-122.465,37.781,1,1
IMPAIRED,4,4,2,-122.452,37.769,2,2
IMPAIRED,4,4,2,-122.442,37.777,1,1
IMPAIRED,4,4,2,-122.442,37.785,1,1
IMPAIRED,4,4,2,-122.418,37.786,2,2
IMPAIRED,4,4,2,-122.416,37.782,1,1
IMPAIRED,4,4,2,-122.413,37.752,1,1
IMPAIRED,4,5,0,-122.417,37.781,1,1
IMPAIRED,4,5,0,-122.416,37.782,2,2
IMPAIRED,4,5,0,-122.414,37.775,1,1
IMPAIRED,4,5,0,-122.393,37.777,1,1
IMPAIRED,4,5,1,-122.458,37.763,1,1
IMPAIRED,4,5,1,-122.454,37.709,2,2
IMPAIRED,4,5,1,-122.408,37.781,1,1
IMPAIRED,4,5,2,-122.407,37.757,1,1
IMPAIRED,4,5,2,-122.407,37.759,1,1
IMPAIRED,4,6,0,-122.433,37.761,1,1
IMPAIRED,4,6,0,-122.422,37.781,1,1
IMPAIRED,4,6,0,-122.41,37.783,2,2
IMPAIRED,4,6,1,-122.446,37.776,1,1
IMPAIRED,4,6,1,-122.414,37.78,1,1
IMPAIRED,4,6,1,-122.406,37.776,1,1
IMPAIRED,4,6,1,-122.405,37.776,1,1
IMPAIRED,4,6,2,-122.4,37.795,1,1
IMPAIRED,4,7,0,-122.418,37.783,2,2
IMPAIRED,4,7,1,-122.442,37.771,1,1
IMPAIRED,4,7,2,-122.422,37.783,1,1
IMPAIRED,4,8,0,-122.418,37.783,2,2
IMPAIRED,4,8,0,-122.417,37.712,1,1
IMPAIRED,4,8,0,-122.415,37.747,1,1
IMPAIRED,4,8,0,-122.409,37.78,1,1
IMPAIRED,4,8,1,-122.432,37.78,1,1
IMPAIRED,4,8,1,-122.415,37.778,3,3
IMPAIRED,4,8,1,-122.414,37.782,1,1
IMPAIRED,4,8,2,-122.496,37.761,2,2
IMPAIRED,4,8,2,-122.42,37.766,1,1
IMPAIRED,4,9,0,-122.417,37.782,1,1
IMPAIRED,4,9,1,-122.418,37.78,2,2
IMPAIRED,4,9,2,-122.483,37.78,1,1
IMPAIRED,4,9,2,-122.408,37.785,1,1
IMPAIRED,4,9,2,-122.406,37.796,1,1
IMPAIRED,4,10,0,-122.416,37.783,2,2
